#Drive Frequency/2pi [GHz]    Time [ns]                     P(0)                          P(16)                         P(32)                         P(64)                         
44.99                         138.001                       0.9761                        0.0235598                     0.000281926                   0                             
44.99                         139.001                       0.975437                      0.0240411                     0.000291376                   0                             
44.99                         140.001                       0.974841                      0.0245046                     0.000307673                   0                             
44.99                         141.001                       0.97445                       0.0249732                     0.000324403                   0                             
44.99                         142.001                       0.974141                      0.0254457                     0.000334118                   0                             
44.99                         143.001                       0.973712                      0.0258922                     0.000339864                   0                             
44.99                         144.001                       0.973138                      0.0262934                     0.000350531                   0                             
44.99                         145.001                       0.972614                      0.0266688                     0.000366939                   0                             
44.99                         146.001                       0.972296                      0.0270481                     0.000380292                   0                             
44.99                         147.001                       0.972092                      0.0274236                     0.000385624                   0                             
44.99                         148.001                       0.971799                      0.0277571                     0.00038946                    0                             
44.99                         149.001                       0.971365                      0.0280321                     0.000399709                   0                             
44.99                         150.001                       0.970961                      0.0282778                     0.000413275                   0                             
44.99                         151.001                       0.970758                      0.0285253                     0.000420661                   0                             
44.99                         152.001                       0.9707                        0.02876                       0.00042057                    0                             
44.99                         153.001                       0.970585                      0.0289398                     0.00042185                    0                             
44.99                         154.001                       0.970329                      0.0290543                     0.000429785                   0                             
44.99                         155.001                       0.970081                      0.0291391                     0.000437839                   0                             
44.99                         156.001                       0.970028                      0.0292236                     0.000437709                   0                             
44.99                         157.001                       0.970144                      0.0292869                     0.000432105                   0                             
44.99                         158.001                       0.97023                       0.0292887                     0.000430524                   0                             
44.99                         159.001                       0.970174                      0.0292262                     0.000434589                   0                             
44.99                         160.001                       0.970099                      0.029137                      0.000435568                   0                             
44.99                         161.001                       0.970209                      0.0290443                     0.000427911                   0                             
44.99                         162.001                       0.970507                      0.0289247                     0.000417792                   0                             
44.99                         163.001                       0.970795                      0.0287445                     0.000413562                   0                             
44.99                         164.001                       0.970936                      0.0285079                     0.000412963                   0                             
44.99                         165.001                       0.971033                      0.0282493                     0.000406763                   0                             
44.99                         166.001                       0.971299                      0.027984                      0.000393097                   0                             
44.99                         167.001                       0.971766                      0.0276903                     0.000380301                   0                             
44.99                         168.001                       0.972238                      0.0273444                     0.000374083                   0                             
44.99                         169.001                       0.972556                      0.0269551                     0.000368946                   0                             
44.99                         170.001                       0.972803                      0.026549                      0.000356899                   0                             
44.99                         171.001                       0.973201                      0.0261342                     0.000339838                   0                             
44.99                         172.001                       0.973802                      0.0256945                     0.000326537                   0                             
44.99                         173.001                       0.974419                      0.0252173                     0.000319215                   0                             
44.99                         174.001                       0.974877                      0.0247121                     0.000310454                   0                             
44.99                         175.001                       0.975239                      0.0241953                     0.000294879                   0                             
44.99                         176.001                       0.975726                      0.0236701                     0.000277394                   0                             
44.99                         177.001                       0.976414                      0.0231285                     0.000265486                   0                             
44.99                         178.001                       0.977126                      0.0225678                     0.000257866                   0                             
44.99                         179.001                       0.977675                      0.0219945                     0.000246863                   0                             
44.99                         180.001                       0.978103                      0.0214144                     0.000230414                   0                             
44.99                         181.001                       0.978628                      0.020829                      0.000215048                   0                             
44.99                         182.001                       0.979345                      0.0202398                     0.000205675                   0                             
44.99                         183.001                       0.980093                      0.0196504                     0.000198282                   0                             
44.99                         184.001                       0.980678                      0.0190616                     0.000186535                   0                             
44.99                         185.001                       0.981121                      0.0184708                     0.000171557                   0                             
44.99                         186.001                       0.981628                      0.0178806                     0.000159877                   0                             
44.99                         187.001                       0.982316                      0.0173008                     0.000153258                   0                             
44.99                         188.001                       0.983044                      0.0167373                     0.000146324                   0                             
44.99                         189.001                       0.983614                      0.016184                      0.000135182                   0                             
44.99                         190.001                       0.984022                      0.0156334                     0.000123275                   0                             
44.99                         191.001                       0.984462                      0.0150912                     0.000115691                   0                             
44.99                         192.001                       0.985066                      0.0145728                     0.000111307                   0                             
