#Drive Frequency/2pi [GHz]    Time [ns]                     P(0)                          P(16)                         P(32)                         P(64)                         
45.002                        245.001                       0.032276                      0.382744                      0.578923                      0                             
45.002                        246.001                       0.031223                      0.385324                      0.57786                       0                             
45.002                        247.001                       0.0302169                     0.38778                       0.576691                      0                             
45.002                        248.001                       0.0292349                     0.390114                      0.575348                      0                             
45.002                        249.001                       0.0282701                     0.392485                      0.573938                      0                             
45.002                        250.001                       0.0273389                     0.394997                      0.572609                      0                             
45.002                        251.001                       0.0264577                     0.397565                      0.571364                      0                             
45.002                        252.001                       0.0256197                     0.400017                      0.570058                      0                             
45.002                        253.001                       0.0248045                     0.40232                       0.568596                      0                             
45.002                        254.001                       0.0240042                     0.404615                      0.567058                      0                             
45.002                        255.001                       0.0232325                     0.407031                      0.565595                      0                             
45.002                        256                           0.0225049                     0.409519                      0.56424                       0                             
45.002                        257                           0.0218167                     0.411904                      0.562867                      0                             
45.002                        258                           0.0211495                     0.414119                      0.561362                      0                             
45.002                        259                           0.020495                      0.416283                      0.559775                      0                             
45.002                        260                           0.0198647                     0.418546                      0.558253                      0                             
45.002                        261                           0.0192728                     0.42089                       0.556858                      0                             
45.002                        262                           0.0187166                     0.423148                      0.555485                      0                             
45.002                        263                           0.0181794                     0.425223                      0.554009                      0                             
45.002                        264                           0.017653                      0.427209                      0.552448                      0                             
45.002                        265                           0.0171466                     0.429264                      0.55094                       0                             
45.002                        266                           0.0166736                     0.431407                      0.549571                      0                             
45.002                        267                           0.0162326                     0.433484                      0.548261                      0                             
45.002                        268                           0.0158088                     0.43537                       0.546878                      0                             
45.002                        269                           0.0153939                     0.437132                      0.545413                      0                             
45.002                        270                           0.0149954                     0.438933                      0.543989                      0                             
45.002                        271                           0.0146259                     0.440823                      0.542709                      0                             
45.002                        272                           0.0142851                     0.442666                      0.541522                      0                             
45.002                        273                           0.0139599                     0.444319                      0.540293                      0                             
45.002                        274                           0.0136418                     0.445817                      0.538988                      0                             
45.002                        275                           0.0133372                     0.447321                      0.537712                      0                             
45.002                        276                           0.0130577                     0.448909                      0.536582                      0                             
45.002                        277                           0.0128042                     0.450469                      0.535571                      0                             
45.002                        278                           0.0125649                     0.451844                      0.534552                      0                             
45.002                        279                           0.0123315                     0.45304                       0.533466                      0                             
45.002                        280                           0.0121092                     0.454207                      0.532398                      0                             
45.002                        281                           0.0119089                     0.455449                      0.531473                      0                             
45.002                        282                           0.0117324                     0.456679                      0.530692                      0                             
45.002                        283                           0.0115694                     0.457734                      0.529932                      0                             
45.002                        284                           0.0114115                     0.45859                       0.529119                      0                             
45.002                        285                           0.0112628                     0.459384                      0.528317                      0                             
45.002                        286                           0.0111338                     0.460237                      0.527649                      0                             
45.002                        287                           0.0110272                     0.461091                      0.527143                      0                             
45.002                        288                           0.0109339                     0.461784                      0.52669                       0                             
45.002                        289                           0.0108454                     0.462261                      0.526198                      0                             
45.002                        290                           0.0107649                     0.462645                      0.52571                       0                             
45.002                        291                           0.0107026                     0.463068                      0.525348                      0                             
45.002                        292                           0.0106621                     0.463501                      0.525162                      0                             
45.002                        293                           0.0106355                     0.463787                      0.525057                      0                             
45.002                        294                           0.0106141                     0.463849                      0.524931                      0                             
45.002                        295                           0.0106                        0.463787                      0.524804                      0                             
45.002                        296                           0.0105966                     0.463787                      0.524755                      0                             
45.002                        297                           0.0106018                     0.463897                      0.524812                      0                             
45.002                        298                           0.0106085                     0.46397                       0.524898                      0                             
45.002                        299                           0.0106079                     0.463911                      0.524901                      0                             

45.003                        0.0005                        0.999992                      3.09207e-33                   3.54522e-11                   0                             
45.003                        1.0005                        0.99983                       2.85457e-09                   2.91587e-08                   0                             
45.003                        2.0005                        0.999663                      4.59299e-08                   7.78855e-08                   0                             
45.003                        3.0005                        0.999712                      2.33789e-07                   8.17732e-08                   0                             
45.003                        4.0005                        0.999911                      7.39404e-07                   3.57437e-08                   0                             
45.003                        5.0005                        0.999994                      1.79967e-06                   6.19065e-10                   0                             
45.003                        6.0005                        0.999846                      3.72101e-06                   2.24258e-08                   0                             
45.003                        7.0005                        0.999664                      6.8924e-06                    7.0541e-08                    0                             
45.003                        8.0005                        0.999685                      1.17761e-05                   7.94773e-08                   0                             
45.003                        9.0005                        0.999873                      1.88741e-05                   3.75772e-08                   0                             
45.003                        10.0005                       0.99997                       2.87249e-05                   1.88384e-09                   0                             
45.003                        11.0005                       0.99983                       4.19666e-05                   1.81808e-08                   0                             
45.003                        12.0005                       0.999624                      5.93836e-05                   5.67256e-08                   0                             
45.003                        13.0005                       0.999602                      8.18283e-05                   5.77109e-08                   0                             
45.003                        14.0005                       0.999761                      0.000110085                   2.10762e-08                   0                             
45.003                        15.0005                       0.999853                      0.000144897                   6.32677e-09                   0                             
45.003                        16.0005                       0.999705                      0.000187195                   3.79463e-08                   0                             
45.003                        17.0005                       0.999457                      0.000238238                   6.09038e-08                   0                             
45.003                        18.0005                       0.999372                      0.000299357                   2.96856e-08                   0                             
45.003                        19.0005                       0.999478                      0.000371565                   8.21126e-10                   0                             
45.003                        20.0005                       0.999539                      0.000455624                   6.56745e-08                   0                             
45.003                        21.0005                       0.999358                      0.000552645                   1.95103e-07                   0                             
45.003                        22.0005                       0.999046                      0.000664467                   2.45451e-07                   0                             
45.003                        23.0005                       0.99887                       0.000793088                   1.77537e-07                   0                             
45.003                        24.0005                       0.998888                      0.000939726                   1.82516e-07                   0                             
45.003                        25.0005                       0.998883                      0.00110488                    4.65147e-07                   0                             
45.003                        26.0005                       0.998638                      0.00128959                    9.19867e-07                   0                             
45.003                        27.0005                       0.99823                       0.00149637                    1.19982e-06                   0                             
45.003                        28.0005                       0.997927                      0.00172821                    1.21242e-06                   0                             
45.003                        29.0005                       0.997818                      0.0019866                     1.38132e-06                   0                             
45.003                        30.0005                       0.997706                      0.00227142                    2.18842e-06                   0                             
45.003                        31.0005                       0.997358                      0.00258317                    3.48216e-06                   0                             
45.003                        32.0005                       0.996817                      0.00292507                    4.55224e-06                   0                             
45.003                        33.0005                       0.996345                      0.00330156                    5.09759e-06                   0                             
45.003                        34.0005                       0.996064                      0.00371469                    5.85024e-06                   0                             
45.003                        35.0005                       0.995797                      0.00416325                    7.82881e-06                   0                             
45.003                        36.0005                       0.9953                        0.00464656                    1.09803e-05                   0                             
45.003                        37.0005                       0.994583                      0.00516834                    1.40639e-05                   0                             
45.003                        38.0005                       0.993899                      0.00573509                    1.62854e-05                   0                             
45.003                        39.0005                       0.993395                      0.00634994                    1.86689e-05                   0                             
45.003                        40.0005                       0.992922                      0.00701025                    2.31048e-05                   0                             
45.003                        41.0005                       0.992228                      0.00771313                    2.99589e-05                   0                             
45.003                        42.0005                       0.991287                      0.00846239                    3.7362e-05                    0                             
45.003                        43.0005                       0.990342                      0.00926722                    4.36082e-05                   0                             
45.003                        44.0005                       0.989562                      0.0101327                     4.9817e-05                    0                             
45.003                        45.0005                       0.988826                      0.0110546                     5.90935e-05                   0                             
45.003                        46.0005                       0.987879                      0.0120265                     7.27558e-05                   0                             
45.003                        47.0005                       0.986667                      0.0130516                     8.83866e-05                   0                             
45.003                        48.0005                       0.98541                       0.0141421                     0.000102863                   0                             
45.003                        49.0005                       0.984301                      0.0153065                     0.000116945                   0                             
45.003                        50.0005                       0.983248                      0.016539                      0.000135186                   0                             
45.003                        51.0005                       0.981996                      0.0178286                     0.000160595                   0                             
45.003                        52.0005                       0.980462                      0.0191759                     0.000190578                   0                             
45.003                        53.0005                       0.978845                      0.020597                      0.000220108                   0                             
45.003                        54.0005                       0.977354                      0.0221051                     0.000248829                   0                             
45.003                        55.0005                       0.975927                      0.0236936                     0.000282722                   0                             
45.003                        56.0005                       0.974316                      0.0253454                     0.000327335                   0                             
45.003                        57.0005                       0.97241                       0.0270569                     0.000380655                   0                             
45.003                        58.0005                       0.970386                      0.0288476                     0.000435445                   0                             
45.003                        59.0005                       0.968464                      0.0307372                     0.000489212                   0                             
45.003                        60.0005                       0.966611                      0.0327201                     0.000548927                   0                             
45.003                        61.0005                       0.964591                      0.0347718                     0.000623496                   0                             
45.003                        62.0005                       0.96227                       0.0368819                     0.000712651                   0                             
45.003                        63.0005                       0.959797                      0.0390723                     0.000807013                   0                             
45.003                        64.0005                       0.957401                      0.0413714                     0.000900769                   0                             
45.003                        65.0005                       0.955076                      0.0437766                     0.00100093                    0                             
45.003                        66.0005                       0.952602                      0.0462554                     0.00112031                    0                             
45.003                        67.0005                       0.949827                      0.0487878                     0.00126188                    0                             
45.003                        68.0005                       0.946869                      0.0513965                     0.00141474                    0                             
45.003                        69.0005                       0.943962                      0.05412                       0.00156864                    0                             
45.003                        70.0005                       0.941129                      0.0569615                     0.00172912                    0                             
45.003                        71.0005                       0.938165                      0.0598812                     0.00191295                    0                             
45.003                        72.0005                       0.934903                      0.0628465                     0.00212803                    0                             
45.003                        73.0005                       0.931436                      0.0658776                     0.00236318                    0                             
45.003                        74.0005                       0.927993                      0.0690247                     0.0026029                     0                             
45.003                        75.0005                       0.924624                      0.0723001                     0.00284935                    0                             
45.003                        76.0005                       0.921144                      0.0756581                     0.00312256                    0                             
45.003                        77.0005                       0.917375                      0.079051                      0.0034369                     0                             
45.003                        78.0005                       0.913383                      0.0824929                     0.00378284                    0                             
45.003                        79.0005                       0.909391                      0.086045                      0.00413945                    0                             
45.003                        80.0005                       0.905471                      0.0897333                     0.00450326                    0                             
45.003                        81.0005                       0.901461                      0.0935089                     0.00489614                    0                             
45.003                        82.0005                       0.897177                      0.0973068                     0.00534001                    0                             
45.003                        83.0005                       0.892658                      0.101131                      0.00582938                    0                             
45.003                        84.0005                       0.888115                      0.105051                      0.00633849                    0                             
45.003                        85.0005                       0.883644                      0.109112                      0.00685621                    0                             
45.003                        86.0005                       0.879103                      0.113265                      0.00740392                    0                             
45.003                        87.0005                       0.874308                      0.117427                      0.00801147                    0                             
45.003                        88.0005                       0.869272                      0.121587                      0.00867996                    0                             
45.003                        89.0005                       0.864193                      0.125822                      0.00938032                    0                             
45.003                        90.0005                       0.859184                      0.130196                      0.0100922                     0                             
45.003                        91.0005                       0.854128                      0.134667                      0.0108336                     0                             
45.003                        92.0005                       0.84884                       0.139136                      0.0116417                     0                             
45.003                        93.0005                       0.843312                      0.143571                      0.0125265                     0                             
45.003                        94.0005                       0.837725                      0.14805                       0.013458                      0                             
45.003                        95.0005                       0.832207                      0.152662                      0.0144059                     0                             
45.003                        96.0005                       0.826662                      0.157376                      0.0153817                     0                             
45.003                        97.0005                       0.820913                      0.162078                      0.0164281                     0                             
45.003                        98.0005                       0.81493                       0.166712                      0.0175658                     0                             
45.003                        99.0005                       0.808877                      0.171355                      0.018767                      0                             
45.003                        100.001                       0.802891                      0.176115                      0.0199915                     0                             
45.003                        101.001                       0.796899                      0.180982                      0.0212414                     0                             
45.003                        102.001                       0.790734                      0.185834                      0.0225625                     0                             
45.003                        103.001                       0.784347                      0.190584                      0.0239869                     0                             
45.003                        104.001                       0.777883                      0.195301                      0.025492                      0                             
45.003                        105.001                       0.771483                      0.200114                      0.0270291                     0                             
45.003                        106.001                       0.765099                      0.205038                      0.0285888                     0                             
45.003                        107.001                       0.758572                      0.209945                      0.0302166                     0                             
45.003                        108.001                       0.751841                      0.214725                      0.0319558                     0                             
45.003                        109.001                       0.745029                      0.219425                      0.0337916                     0                             
45.003                        110.001                       0.73828                       0.224193                      0.0356693                     0                             
45.003                        111.001                       0.731567                      0.229074                      0.0375669                     0                             
45.003                        112.001                       0.724742                      0.233945                      0.0395257                     0                             
45.003                        113.001                       0.717736                      0.238667                      0.0415991                     0                             
45.003                        114.001                       0.710648                      0.243266                      0.0437822                     0                             
45.003                        115.001                       0.703622                      0.247898                      0.0460173                     0                             
45.003                        116.001                       0.69665                       0.252641                      0.0482691                     0                             
45.003                        117.001                       0.689598                      0.257387                      0.0505724                     0                             
45.003                        118.001                       0.682388                      0.261974                      0.0529879                     0                             
45.003                        119.001                       0.675102                      0.266395                      0.0555219                     0                             
45.003                        120.001                       0.667875                      0.270812                      0.0581165                     0                             
45.003                        121.001                       0.660717                      0.275336                      0.0607246                     0                             
45.003                        122.001                       0.65351                       0.279881                      0.0633716                     0                             
45.003                        123.001                       0.646173                      0.284267                      0.066123                      0                             
45.003                        124.001                       0.638765                      0.288453                      0.0689962                     0                             
45.003                        125.001                       0.631415                      0.292595                      0.0719362                     0                             
45.003                        126.001                       0.624147                      0.296836                      0.0748852                     0                             
45.003                        127.001                       0.616859                      0.30112                       0.0778585                     0                             
45.003                        128.001                       0.609466                      0.305258                      0.0809232                     0                             
45.003                        129.001                       0.602013                      0.309172                      0.0841073                     0                             
45.003                        130.001                       0.594617                      0.313001                      0.0873604                     0                             
45.003                        131.001                       0.587312                      0.316919                      0.0906167                     0                             
45.003                        132.001                       0.580011                      0.320904                      0.0938805                     0                             
45.003                        133.001                       0.572634                      0.324767                      0.0972185                     0                             
45.003                        134.001                       0.565207                      0.328396                      0.100668                      0                             
45.003                        135.001                       0.557836                      0.331904                      0.104184                      0                             
45.003                        136.001                       0.550563                      0.335484                      0.107695                      0                             
45.003                        137.001                       0.543317                      0.339156                      0.111195                      0                             
45.003                        138.001                       0.536018                      0.342743                      0.114749                      0                             
45.003                        139.001                       0.528682                      0.346097                      0.118401                      0                             
45.003                        140.001                       0.521402                      0.349298                      0.122113                      0                             
45.003                        141.001                       0.514224                      0.352554                      0.12581                       0                             
45.003                        142.001                       0.507089                      0.355925                      0.129475                      0                             
45.003                        143.001                       0.499926                      0.359255                      0.13317                       0                             
45.003                        144.001                       0.492739                      0.362368                      0.136947                      0                             
45.003                        145.001                       0.485608                      0.365305                      0.140774                      0                             
45.003                        146.001                       0.47858                       0.368275                      0.144572                      0                             
45.003                        147.001                       0.47161                       0.371379                      0.148317                      0                             
45.003                        148.001                       0.464632                      0.374492                      0.152066                      0                             
45.003                        149.001                       0.457642                      0.377418                      0.155877                      0                             
45.003                        150.001                       0.450709                      0.380153                      0.159725                      0                             
45.003                        151.001                       0.443891                      0.382891                      0.163525                      0                             
45.003                        152.001                       0.437145                      0.385777                      0.167246                      0                             
45.003                        153.001                       0.430411                      0.388719                      0.170941                      0                             
45.003                        154.001                       0.423682                      0.391516                      0.174677                      0                             
45.003                        155.001                       0.417014                      0.394116                      0.178434                      0                             
45.003                        156.001                       0.410453                      0.396696                      0.182133                      0                             
45.003                        157.001                       0.403972                      0.39943                       0.185729                      0                             
45.003                        158.001                       0.397517                      0.402269                      0.189273                      0                             
45.003                        159.001                       0.391078                      0.405012                      0.192835                      0                             
45.003                        160.001                       0.384701                      0.407564                      0.196407                      0                             
45.003                        161.001                       0.37843                       0.410071                      0.199907                      0                             
45.003                        162.001                       0.372244                      0.412726                      0.203284                      0                             
45.003                        163.001                       0.366095                      0.415529                      0.20658                       0                             
45.003                        164.001                       0.359972                      0.418291                      0.209873                      0                             
45.003                        165.001                       0.353914                      0.420877                      0.213165                      0                             
45.003                        166.001                       0.347959                      0.423393                      0.216376                      0                             
45.003                        167.001                       0.342094                      0.426044                      0.219444                      0                             
45.003                        168.001                       0.336275                      0.428874                      0.222405                      0                             
45.003                        169.001                       0.33049                       0.431718                      0.225342                      0                             
45.003                        170.001                       0.324773                      0.434412                      0.228268                      0                             
45.003                        171.001                       0.319158                      0.437012                      0.231109                      0                             
45.003                        172.001                       0.313636                      0.439722                      0.233793                      0                             
45.003                        173.001                       0.308167                      0.442631                      0.236345                      0                             
45.003                        174.001                       0.30274                       0.445607                      0.238851                      0                             
45.003                        175.001                       0.297383                      0.448463                      0.24134                       0                             
45.003                        176.001                       0.292128                      0.451207                      0.243745                      0                             
45.003                        177.001                       0.286969                      0.454028                      0.245984                      0                             
45.003                        178.001                       0.281869                      0.457054                      0.248069                      0                             
45.003                        179.001                       0.276817                      0.460192                      0.250087                      0                             
45.003                        180.001                       0.271838                      0.463244                      0.252084                      0                             
45.003                        181.001                       0.266962                      0.466171                      0.254001                      0                             
45.003                        182.001                       0.262183                      0.469136                      0.255753                      0                             
45.003                        183.001                       0.257469                      0.472297                      0.257333                      0                             
45.003                        184.001                       0.252809                      0.475604                      0.258827                      0                             
45.003                        185.001                       0.248224                      0.478866                      0.260295                      0                             
45.003                        186.001                       0.243742                      0.481992                      0.261693                      0                             
45.003                        187.001                       0.239361                      0.485116                      0.262934                      0                             
45.003                        188.001                       0.23505                       0.488411                      0.263992                      0                             
45.003                        189.001                       0.230798                      0.491876                      0.264947                      0                             
45.003                        190.001                       0.226622                      0.495332                      0.26587                       0                             
45.003                        191.001                       0.22255                       0.498653                      0.266736                      0                             
45.003                        192.001                       0.218581                      0.501927                      0.26746                       0                             
45.003                        193.001                       0.214688                      0.505337                      0.268                         0                             
